"# altitude (m)" "wind direction (°)" "wind speed (m/s)" "direction std deviation (°)"
73.52 7.59 5.13 5.00
286.49 8.58 5.12 5.00
503.95 8.40 5.16 5.00
726.09 8.82 5.23 5.00
953.25 9.27 7.49 5.00
1185.79 12.95 12.25 5.00
1423.60 18.44 15.13 5.00
1666.74 24.67 15.75 5.00
1915.48 32.51 14.36 5.00
2170.31 40.23 12.25 5.00
2431.55 44.50 10.70 5.00
2974.06 42.96 10.49 5.00
3547.04 41.68 11.44 5.00
4156.27 40.50 9.91 5.00
4807.07 49.35 9.00 5.00
5505.72 55.81 11.25 5.00
6259.89 49.88 9.94 5.00
7078.23 39.35 6.38 5.00
7986.65 23.90 10.26 5.00
9034.01 11.85 10.82 5.00
10258.62 22.28 11.63 5.00
10967.90 28.38 8.00 5.00
11761.96 264.27 5.22 5.00
12650.98 303.07 12.35 5.00
13663.41 329.93 23.12 5.00
14860.74 345.11 9.82 5.00
16302.64 286.96 11.98 5.00
18545.55 284.20 0.50 5.00
20639.47 6.39 1.29 5.00
23814.24 343.06 2.87 5.00
26369.45 357.53 3.04 5.00
30867.76 275.90 6.07 5.00
33273.96 267.22 17.35 5.00
35648.08 277.39 24.38 5.00
39457.45 257.14 32.12 5.00
42612.07 279.01 41.72 5.00
48150.94 258.04 16.97 5.00
