# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.667e-4,-0.093,-9.334,0.093,9.336,-8.146e-6,0,8.146e-6,180,0.002,0.163,35.353,-117.807,9.796,91.109,0,0,0,1.062e5,4.371e4,140.389,1.093,NaN,363.081,NaN,0.008,9.006e5,48.707,-1.574e-6,0.514,-9.28e-6,0.471,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.111e-5,24.13,457.303,89,0,2.536,10.925,940.419,337.919,0.01,0.011
0.02,-4.209e-4,-0.084,-8.418,0.084,8.419,-7.347e-6,0,7.347e-6,180,0.001,0.147,35.353,-117.807,9.796,90.9,0,0,0,1.062e5,4.369e4,140.384,1.093,NaN,363.077,NaN,0.008,9.019e5,146.021,-8.429e-7,0.514,-4.957e-6,0.471,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.001e-5,24.13,457.303,89,0,2.54,10.925,940.419,337.919,0.01,0.013
0.03,-3.751e-4,-0.075,-7.502,0.075,7.503,-6.547e-6,0,6.547e-6,180,0.001,0.131,35.353,-117.807,9.796,90.69,0,0,0,1.061e5,4.367e4,140.38,1.093,NaN,363.074,NaN,0.008,9.032e5,243.234,-3.829e-7,0.514,-2.245e-6,0.47,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.925e-6,24.13,457.303,89,0,2.543,10.925,940.419,337.919,0.01,0.016
0.04,-3.293e-4,-0.066,-6.585,0.066,6.586,-5.748e-6,0,5.748e-6,180,0.001,0.115,35.353,-117.807,9.796,90.482,0,0,0,1.061e5,4.365e4,140.376,1.093,NaN,363.07,NaN,0.008,9.045e5,340.448,-1.307e-7,0.514,-7.645e-7,0.47,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.835e-6,24.13,457.303,89,0,2.547,10.925,940.419,337.919,0.01,0.018
0.05,-2.835e-4,-0.057,-5.669,0.057,5.669,-4.948e-6,0,4.948e-6,180,9.895e-4,0.099,35.353,-117.807,9.796,90.274,0,0,0,1.061e5,4.363e4,140.371,1.093,NaN,363.067,NaN,0.008,9.058e5,437.662,-2.408e-8,0.514,-1.404e-7,0.47,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.745e-6,24.13,457.303,89,0,2.551,10.925,940.419,337.919,0.01,0.02
0.06,-2.376e-4,-0.048,-4.752,0.048,4.752,-4.148e-6,0,4.148e-6,180,8.295e-4,0.083,35.353,-117.807,9.796,90.046,0,0,0,1.061e5,4.361e4,140.367,1.093,NaN,363.064,NaN,0.008,9.241e5,534.875,0,0.512,0,0.468,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.654e-6,24.13,457.303,89,0,2.602,10.925,940.419,337.919,0.01,0.022
0.07,-1.918e-4,-0.038,-3.834,0.038,3.835,-3.347e-6,0,3.347e-6,180,6.694e-4,0.067,35.353,-117.807,9.796,89.828,0,0,0,1.061e5,4.36e4,140.363,1.092,NaN,363.06,NaN,0.008,9.425e5,632.089,6.436e-9,0.51,3.465e-8,0.466,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.563e-6,24.13,457.303,89,0,2.654,10.925,940.419,337.919,0.01,0.024
0.08,-1.459e-4,-0.029,-2.917,0.029,2.917,-2.546e-6,0,2.546e-6,180,5.092e-4,0.051,35.353,-117.807,9.796,89.618,0,0,0,1.06e5,4.358e4,140.358,1.092,NaN,363.057,NaN,0.008,9.609e5,729.303,7.294e-8,0.508,3.779e-7,0.465,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.471e-6,24.13,457.303,89,0,2.706,10.925,940.419,337.919,0.01,0.026
0.09,-9.998e-5,-0.02,-1.999,0.02,1.999,-1.745e-6,0,1.745e-6,180,3.49e-4,0.035,35.353,-117.807,9.796,89.415,0,0,0,1.06e5,4.356e4,140.354,1.092,NaN,363.054,NaN,0.008,9.794e5,826.516,2.695e-7,0.507,1.344e-6,0.463,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.379e-6,24.13,457.303,89,0,2.758,10.925,940.419,337.919,0.01,0.028
0.1,-5.407e-5,-0.011,-1.08,0.011,1.081,-9.439e-7,0,9.439e-7,180,1.887e-4,0.019,35.353,-117.807,9.796,89.221,0,0,0,1.06e5,4.354e4,140.349,1.092,NaN,363.05,NaN,0.008,9.978e5,923.73,6.598e-7,0.505,3.17e-6,0.461,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.286e-6,24.13,457.303,89,0,2.81,10.925,940.419,337.919,0.01,0.03
