# Time (s),Altitude (m)
0.01,-4.666e-4
0.02,-4.206e-4
0.03,-3.746e-4
0.04,-3.286e-4
0.05,-2.826e-4
0.06,-2.366e-4
0.07,-1.905e-4
0.08,-1.445e-4
0.09,-9.841e-5
0.1,-5.231e-5
0.11,-6.203e-6
0.12,3.993e-5
0.13,2.059e-4
0.14,5.902e-4
0.15,0.001
0.16,0.002
0.17,0.004
0.18,0.006
0.19,0.009
0.2,0.013
0.21,0.017
0.22,0.023
0.23,0.029
0.24,0.037
0.25,0.046
0.26,0.056
0.27,0.068
0.28,0.081
0.29,0.095
0.3,0.112
0.31,0.13
0.32,0.15
0.33,0.172
0.34,0.197
0.35,0.223
0.36,0.252
0.37,0.283
0.38,0.316
0.39,0.352
0.4,0.39
0.41,0.432
0.42,0.475
0.43,0.522
0.44,0.571
0.45,0.623
0.46,0.678
0.47,0.735
0.48,0.794
0.49,0.857
0.5,0.922
0.51,0.99
0.52,1.06
0.53,1.133
0.54,1.209
0.55,1.287
0.56,1.368
0.57,1.452
0.58,1.538
0.59,1.627
0.6,1.718
0.61,1.812
0.62,1.909
0.63,2.008
0.64,2.11
0.65,2.215
0.66,2.322
0.67,2.432
0.68,2.545
0.69,2.66
0.7,2.778
0.71,2.898
0.72,3.021
0.73,3.147
0.74,3.275
0.75,3.406
0.76,3.54
0.77,3.676
0.78,3.814
0.79,3.956
0.8,4.1
0.81,4.246
0.82,4.396
0.83,4.547
0.84,4.702
0.85,4.859
0.86,5.018
0.87,5.181
0.88,5.345
0.89,5.513
0.9,5.683
0.91,5.856
0.92,6.031
0.93,6.209
0.94,6.389
0.95,6.572
0.96,6.758
0.97,6.946
0.98,7.137
0.99,7.33
1,7.526
1.01,7.725
1.02,7.926
1.03,8.13
1.04,8.336
1.05,8.545
1.06,8.756
1.07,8.97
1.08,9.187
1.09,9.406
1.1,9.628
1.11,9.853
1.12,10.079
1.13,10.309
1.14,10.541
1.15,10.776
1.16,11.013
1.17,11.253
1.18,11.495
1.19,11.74
1.2,11.987
1.21,12.238
1.22,12.49
1.23,12.745
1.24,13.003
1.25,13.263
1.26,13.526
1.27,13.791
1.28,14.059
1.29,14.33
1.3,14.603
1.31,14.878
1.32,15.156
1.33,15.437
1.345,15.862
1.368,16.511
1.401,17.509
1.451,19.04
1.501,20.634
1.551,22.29
1.601,24.009
1.651,25.791
1.701,27.635
1.751,29.543
1.801,31.514
1.851,33.55
1.901,35.649
1.951,37.814
2.001,40.043
2.051,42.338
2.101,44.698
2.151,47.125
2.201,49.617
2.251,52.176
2.301,54.802
2.351,57.495
2.401,60.255
2.451,63.083
2.501,65.978
2.551,68.941
2.601,71.972
2.651,75.071
2.701,78.238
2.751,81.473
2.801,84.777
2.851,88.149
2.901,91.59
2.951,95.1
3.001,98.679
3.051,102.328
3.101,106.047
3.151,109.835
3.201,113.695
3.251,117.625
3.301,121.626
3.351,125.699
3.401,129.844
3.451,134.061
3.501,138.351
3.551,142.715
3.601,147.152
3.651,151.663
3.701,156.249
3.751,160.909
3.801,165.644
3.851,170.455
3.901,175.341
3.951,180.304
4.001,185.342
4.051,190.457
4.101,195.648
4.151,200.916
4.201,206.261
4.251,211.682
4.301,217.18
4.351,222.755
4.401,228.407
4.451,234.136
4.501,239.942
4.551,245.825
4.601,251.785
4.651,257.823
4.701,263.939
4.751,270.133
4.801,276.405
4.851,282.756
4.901,289.187
4.951,295.697
5.001,302.287
5.051,308.957
5.101,315.708
5.151,322.54
5.201,329.453
5.251,336.447
5.301,343.523
5.351,350.681
5.401,357.92
5.451,365.241
5.501,372.643
5.551,380.126
5.601,387.69
5.651,395.335
